County Code,District Code,School Code,Total Tested At Entity Level,Total Tested with Scores,Grade,Test Id,CAASPP Reported Enrollment,Students Tested,Mean Scale Score,Percent Standard Exceeded,Percentage Standard Met,Percentage Standard Met and Above,Percentage Standard Nearly Met,Percentage Standard Not Met,Students with Scores
37,68452,111237,272,267,3,ELA,88,85,2364.8,6.17,14.81,20.99,24.69,54.32,81
37,73791,111468,562,562,3,ELA,181,176,2493.7,56.25,22.73,78.98,14.77,6.25,176
37,68411,111831,667,666,11,ELA,683,667,2651.9,40.99,39.04,80.03,14.26,5.71,666
37,68338,111864,140,140,3,ELA,60,58,2437.2,22.41,37.93,60.34,17.24,22.41,58
37,68338,111898,596,595,8,ELA,199,198,2585.3,19.19,40.91,60.1,24.75,15.15,198
37,68338,111906,348,348,8,ELA,119,119,2489.4,0.84,18.49,19.33,30.25,50.42,119
37,73551,113498,268,268,3,ELA,83,82,2464.8,47.56,23.17,70.73,10.98,18.29,82
37,73569,113514,332,332,3,ELA,104,103,2384.3,18.45,15.53,33.98,19.42,46.6,103
37,73569,113522,747,747,8,ELA,244,239,2545.7,6.69,36.82,43.51,28.87,27.62,239
37,68023,114009,499,499,3,ELA,122,122,2487.2,54.92,24.59,79.51,12.3,8.2,122
37,68338,114025,247,246,11,ELA,321,247,2513.9,4.07,22.76,26.83,29.27,43.9,246
37,68338,114033,249,249,3,ELA,97,91,2350.8,5.49,10.99,16.48,21.98,61.54,91
37,68338,114041,301,301,3,ELA,121,117,2404,17.95,21.37,39.32,24.79,35.9,117
37,68452,114264,43,43,11,ELA,43,43,2580.5,9.3,41.86,51.16,34.88,13.95,43
37,68338,114462,139,139,11,ELA,147,139,2596.9,25.9,30.22,56.12,26.62,17.27,139
37,68338,114520,20,20,11,ELA,22,20,2460,0,5,5,40,55,20
37,68452,114637,836,836,8,ELA,272,271,2595.1,18.82,46.13,64.94,23.25,11.81,271
37,76471,114678,160,160,11,ELA,161,160,2624.6,27.5,45,72.5,19.38,8.13,160
37,68056,114686,467,467,3,ELA,95,91,2516.4,70.33,18.68,89.01,10.99,0,91
37,76471,114694,115,115,11,ELA,116,115,2652.2,41.74,38.26,80,12.17,7.83,115
37,68452,115451,85,84,11,ELA,90,85,2416.4,0,1.19,1.19,13.1,85.71,84
37,68114,115519,*,*,8,ELA,*,*,*,*,*,*,*,*,*
37,68197,115543,19,19,8,ELA,14,12,2489.1,0,0,0,50,50,12
37,68411,115873,*,*,8,ELA,*,*,*,*,*,*,*,*,*
37,68411,115873,*,*,11,ELA,*,*,*,*,*,*,*,*,*
37,73791,116467,408,408,3,ELA,151,145,2435.6,24.83,33.79,58.62,20,21.38,145
37,68296,116475,357,357,3,ELA,134,130,2510.3,65.38,21.54,86.92,10.77,2.31,130
37,68296,116764,365,365,3,ELA,120,116,2487.4,54.31,22.41,76.72,17.24,6.03,116
37,68338,116939,499,499,8,ELA,143,135,2584.5,20,37.04,57.04,28.15,14.81,135
37,68338,117325,408,407,8,ELA,145,135,2480.1,2.96,15.56,18.52,24.44,57.04,135
37,68338,117333,340,339,8,ELA,133,125,2528.4,8.8,28,36.8,28,35.2,125
37,67983,117887,30,30,3,ELA,*,*,*,*,*,*,*,*,*
37,67983,117887,30,30,8,ELA,*,*,*,*,*,*,*,*,*
37,67983,117887,30,30,11,ELA,*,*,*,*,*,*,*,*,*
37,68338,118000,310,310,3,ELA,48,46,2442.6,28.26,28.26,56.52,32.61,10.87,46
37,68338,118000,310,310,8,ELA,52,50,2573.6,24,24,48,32,20,50
37,68338,118083,225,224,3,ELA,47,44,2406.9,18.18,22.73,40.91,22.73,36.36,44
37,68338,118083,225,224,8,ELA,43,41,2581.2,14.63,43.9,58.54,24.39,17.07,41
37,68338,118315,*,*,11,ELA,*,*,*,*,*,*,*,*,*
37,68189,118323,418,418,3,ELA,77,71,2394.6,11.27,26.76,38.03,16.9,45.07,71
37,68189,118323,418,418,8,ELA,44,40,2531.8,5,30,35,40,25,40
37,68189,118323,418,418,11,ELA,46,44,2588.7,18.18,38.64,56.82,22.73,20.45,44
37,68452,118430,425,425,11,ELA,430,425,2676.3,52.24,35.76,88,9.65,2.35,425
37,68338,118851,128,128,11,ELA,131,128,2512.5,7.03,21.09,28.13,22.66,49.22,128
37,68296,118935,480,480,11,ELA,488,480,2698.6,66.46,23.33,89.79,6.46,3.75,480
37,67991,119255,193,193,8,ELA,54,54,2612.3,24.07,48.15,72.22,22.22,5.56,54
37,76471,119271,318,318,8,ELA,107,103,2583.4,17.48,43.69,61.17,21.36,17.48,103
37,68213,119560,*,*,3,ELA,*,*,*,*,*,*,*,*,*
37,68213,119560,*,*,8,ELA,*,*,*,*,*,*,*,*,*
37,68213,119560,*,*,11,ELA,*,*,*,*,*,*,*,*,*
37,68023,119594,175,175,3,ELA,43,43,2381.2,13.95,18.6,32.56,11.63,55.81,43
37,68338,119610,758,758,8,ELA,199,197,2535.4,4.57,25.38,29.95,45.69,24.37,197
37,68338,119610,758,758,11,ELA,140,140,2555,7.86,27.86,35.71,39.29,25,140
37,68049,119990,399,399,11,ELA,436,399,2516.7,3.26,22.31,25.56,35.34,39.1,399
37,68338,120410,*,*,11,ELA,*,*,*,*,*,*,*,*,*
37,68338,121145,69,69,3,ELA,27,27,2349.7,7.41,11.11,18.52,18.52,62.96,27
37,68213,121582,230,230,8,ELA,56,55,2654.3,52.73,36.36,89.09,9.09,1.82,55
37,68338,121681,211,210,3,ELA,48,46,2393.9,8.7,19.57,28.26,34.78,36.96,46
37,68338,121681,211,210,8,ELA,30,28,2622.4,35.71,42.86,78.57,14.29,7.14,28
37,68338,122788,75,75,11,ELA,79,75,2621.7,30.67,37.33,68,22.67,9.33,75
37,75416,122796,13,13,3,ELA,*,*,*,*,*,*,*,*,*
37,68379,123000,691,691,3,ELA,108,100,2352.6,5,14,19,20,61,100
37,68379,123000,691,691,8,ELA,112,112,2527.3,4.46,25.89,30.36,37.5,32.14,112
37,76471,123042,298,298,8,ELA,103,99,2544.6,2.02,40.4,42.42,39.39,18.18,99
37,76471,123059,207,207,3,ELA,65,62,2411.9,22.58,16.13,38.71,25.81,35.48,62
37,68213,123224,132,132,8,ELA,42,23,2550.7,13.04,21.74,34.78,43.48,21.74,23
37,68213,123224,132,132,11,ELA,121,81,2595,22.22,33.33,55.56,25.93,18.52,81
37,68213,123240,50,50,3,ELA,*,*,*,*,*,*,*,*,*
37,68213,123240,50,50,8,ELA,*,*,*,*,*,*,*,*,*
37,68213,123240,50,50,11,ELA,*,*,*,*,*,*,*,*,*
37,68338,123778,167,167,3,ELA,29,29,2476.1,48.28,31.03,79.31,10.34,10.34,29
37,68338,123778,167,167,8,ELA,27,27,2592.6,22.22,40.74,62.96,25.93,11.11,27
37,68338,124115,577,577,8,ELA,198,192,2490.1,0.52,18.75,19.27,34.9,45.83,192
37,68338,124206,221,221,3,ELA,46,44,2371.4,9.09,15.91,25,20.45,54.55,44
37,68338,124206,221,221,8,ELA,23,20,2521.4,5,25,30,35,35,20
37,68163,124271,230,230,8,ELA,*,*,*,*,*,*,*,*,*
37,68163,124271,230,230,11,ELA,263,216,2480.6,1.39,16.2,17.59,25,57.41,216
37,68023,124321,153,153,3,ELA,28,28,2381,3.57,17.86,21.43,28.57,50,28
37,68023,124321,153,153,8,ELA,24,23,2561.4,17.39,30.43,47.83,26.09,26.09,23
37,68338,124347,126,126,8,ELA,47,40,2496.9,5,15,20,22.5,57.5,40
37,68452,124917,37,37,3,ELA,*,*,*,*,*,*,*,*,*
37,68452,124917,37,37,8,ELA,11,11,2554,0,54.55,54.55,18.18,27.27,11
37,68452,124917,37,37,11,ELA,16,14,2579.6,21.43,21.43,42.86,42.86,14.29,14
37,68403,125401,59,59,11,ELA,67,59,2536,6.78,25.42,32.2,32.2,35.59,59
