County Code,District Code,School Code,Total Tested At Entity Level,Total Tested with Scores,Grade,Test Id,CAASPP Reported Enrollment,Students Tested,Mean Scale Score,Percent Standard Exceeded,Percentage Standard Met,Percentage Standard Met and Above,Percentage Standard Nearly Met,Percentage Standard Not Met,Students with Scores
37,68338,3731130,24,24,11,ELA,*,*,*,*,*,*,*,*,*
37,68411,3731155,68,68,8,ELA,14,13,2518.2,0,30.77,30.77,30.77,38.46,13
37,68411,3731155,68,68,11,ELA,41,39,2563.9,10.26,25.64,35.9,43.59,20.51,39
37,73551,3731163,16,16,11,ELA,19,16,2675,50,37.5,87.5,12.5,0,16
37,68338,3731189,464,463,8,ELA,122,122,2601.9,13.93,59.84,73.77,17.21,9.02,122
37,68338,3731189,464,463,11,ELA,100,98,2669.7,44.9,44.9,89.8,8.16,2.04,98
37,68338,3731213,213,213,11,ELA,219,213,2597.2,22.07,36.15,58.22,25.35,16.43,213
37,73569,3731221,250,250,3,ELA,*,*,*,*,*,*,*,*,*
37,73569,3731221,250,250,8,ELA,38,38,2493.5,0,15.79,15.79,39.47,44.74,38
37,73569,3731221,250,250,11,ELA,125,107,2538,1.87,26.17,28.04,47.66,24.3,107
37,68163,3731239,1355,1351,3,ELA,225,208,2417.4,16.99,30.1,47.09,27.67,25.24,206
37,68163,3731239,1355,1351,8,ELA,209,196,2586.6,20.41,38.78,59.18,29.59,11.22,196
37,68163,3731239,1355,1351,11,ELA,133,123,2604.3,21.95,39.02,60.98,26.02,13.01,123
37,68338,3731247,136,136,11,ELA,138,136,2650.9,41.18,41.18,82.35,11.76,5.88,136
37,68130,3731262,499,499,11,ELA,511,499,2638.8,37.27,37.68,74.95,16.23,8.82,499
37,68411,3731304,71,71,11,ELA,78,71,2436.8,1.41,7.04,8.45,15.49,76.06,71
37,75614,3731312,31,31,11,ELA,31,31,2438,0,9.68,9.68,12.9,77.42,31
37,68338,3731395,156,156,3,ELA,*,*,*,*,*,*,*,*,*
37,68338,3731395,156,156,8,ELA,29,27,2527.1,3.7,29.63,33.33,29.63,37.04,27
37,68338,3731395,156,156,11,ELA,65,63,2598.8,15.87,41.27,57.14,33.33,9.52,63
37,68411,3731460,*,*,8,ELA,*,*,*,*,*,*,*,*,*
37,68411,3731460,*,*,11,ELA,*,*,*,*,*,*,*,*,*
37,68031,3731478,299,299,11,ELA,313,299,2647.6,39.46,37.79,77.26,12.71,10.03,299
37,68411,3731502,564,560,11,ELA,587,564,2563,16.61,29.29,45.89,25.36,28.75,560
37,68296,3731528,550,549,8,ELA,*,*,*,*,*,*,*,*,*
37,68296,3731528,550,549,11,ELA,572,550,2661.2,47.18,33.52,80.69,12.57,6.74,549
37,68130,3731536,34,31,11,ELA,36,34,2709.7,67.74,29.03,96.77,3.23,0,31
37,68338,3731551,932,928,8,ELA,327,321,2532.9,8.41,28.35,36.76,28.66,34.58,321
37,75614,3731601,33,33,3,ELA,*,*,*,*,*,*,*,*,*
37,75614,3731601,33,33,8,ELA,*,*,*,*,*,*,*,*,*
37,75614,3731601,33,33,11,ELA,*,*,*,*,*,*,*,*,*
37,68411,3731627,636,636,11,ELA,656,636,2632.5,33.49,40.41,73.9,15.88,10.22,636
37,68130,3731692,379,377,11,ELA,440,379,2555.6,15.12,29.44,44.56,23.34,32.1,377
37,68130,3731809,342,342,11,ELA,351,342,2604.3,25.15,35.67,60.82,22.51,16.67,342
37,68452,3732039,59,41,11,ELA,62,59,2462,0,9.76,9.76,26.83,63.41,41
37,68411,3732047,91,91,11,ELA,93,91,2491.1,3.3,8.79,12.09,32.97,54.95,91
37,68106,3732054,109,107,11,ELA,128,109,2458.7,0,6.54,6.54,27.1,66.36,107
37,68106,3732062,555,551,11,ELA,575,555,2596.7,23.05,34.12,57.17,24.68,18.15,551
37,68122,3732179,431,431,11,ELA,440,431,2574.8,18.1,31.32,49.42,27.38,23.2,431
37,68122,3732195,43,43,11,ELA,44,43,2467.1,0,11.63,11.63,20.93,67.44,43
37,68130,3732336,526,526,11,ELA,539,526,2610.3,26.05,40.49,66.54,20.15,13.31,526
37,68130,3732559,28,28,11,ELA,32,28,2427.3,0,0,0,28.57,71.43,28
37,68130,3732625,550,550,11,ELA,558,550,2620.6,30.55,36.73,67.27,19.45,13.27,550
37,68130,3732732,577,577,11,ELA,583,577,2658.6,44.89,35.18,80.07,14.56,5.37,577
37,68338,3732781,529,528,11,ELA,543,529,2661.1,45.45,36.74,82.2,11.55,6.25,528
37,68411,3732849,490,490,11,ELA,505,490,2600.1,22.04,38.37,60.41,25.1,14.49,490
37,68338,3732997,456,450,11,ELA,474,456,2564.6,14.89,30.89,45.78,26.22,28,450
37,68171,3733219,42,42,11,ELA,42,42,2602.9,14.29,42.86,57.14,30.95,11.9,42
37,68338,3733508,336,334,11,ELA,383,336,2638.9,40.42,29.64,70.06,17.07,12.87,334
37,68338,3733698,241,241,11,ELA,243,241,2591.7,23.65,34.44,58.09,21.58,20.33,241
37,68411,3733953,400,400,11,ELA,412,400,2571.4,15.5,30,45.5,31.5,23,400
37,68338,3734431,211,211,11,ELA,221,211,2597.3,22.75,33.65,56.4,26.07,17.54,211
37,68130,3734548,318,318,11,ELA,331,318,2610.1,28.62,33.65,62.26,23.9,13.84,318
37,68338,3734654,370,368,11,ELA,392,370,2589.9,19.84,38.32,58.15,20.11,21.74,368
37,68130,3734761,253,251,11,ELA,272,253,2569.2,17.53,30.68,48.21,25.9,25.9,251
37,68213,3734878,85,85,11,ELA,87,85,2578.8,20,29.41,49.41,27.06,23.53,85
37,73569,3735206,433,429,11,ELA,495,433,2566.6,14.69,31.93,46.62,27.27,26.11,429
37,68106,3735313,436,436,11,ELA,450,436,2577,18.35,32.11,50.46,24.54,25,436
37,68338,3735750,413,412,11,ELA,428,413,2618.5,30.58,35.19,65.78,21.84,12.38,412
37,68296,3735842,53,53,11,ELA,58,53,2534.6,7.55,22.64,30.19,39.62,30.19,53
37,68296,3735867,504,504,11,ELA,523,504,2624.7,30.56,36.51,67.06,22.82,10.12,504
37,68304,3735958,53,53,11,ELA,54,53,2444.7,0,5.66,5.66,18.87,75.47,53
37,68304,3735974,328,327,11,ELA,337,328,2610.9,23.55,43.12,66.67,22.32,11.01,327
37,68346,3737384,45,45,11,ELA,54,45,2617.9,26.67,44.44,71.11,15.56,13.33,45
37,68346,3737418,465,465,11,ELA,475,465,2677.8,52.9,33.76,86.67,10.32,3.01,465
37,73791,3737632,734,734,11,ELA,741,734,2657.3,47.96,32.56,80.52,9.95,9.54,734
37,68130,3737905,334,334,11,ELA,353,334,2634,36.53,38.92,75.45,14.37,10.18,334
37,68338,3737962,92,92,11,ELA,120,92,2488.3,2.17,11.96,14.13,31.52,54.35,92
37,68411,3738226,727,727,11,ELA,739,727,2582.8,19.26,33.7,52.96,25.58,21.46,727
37,68411,3738234,406,406,11,ELA,413,406,2591.2,22.66,35.71,58.37,20.94,20.69,406
37,68452,3738705,534,534,11,ELA,563,534,2603.2,21.35,40.26,61.61,23.03,15.36,534
37,73569,3739018,608,606,11,ELA,660,608,2601.8,24.26,34.49,58.75,24.09,17.16,606
37,73569,3739026,44,44,11,ELA,56,44,2460,2.27,13.64,15.91,13.64,70.45,44
37,67991,3767991,*,*,3,ELA,*,*,*,*,*,*,*,*,*
37,67991,3767991,*,*,8,ELA,*,*,*,*,*,*,*,*,*
37,68031,3768031,*,*,3,ELA,*,*,*,*,*,*,*,*,*
37,68031,3768031,*,*,11,ELA,*,*,*,*,*,*,*,*,*
37,68106,3768106,*,*,11,ELA,*,*,*,*,*,*,*,*,*
37,68114,3768114,*,*,8,ELA,*,*,*,*,*,*,*,*,*
37,68130,3768130,*,*,11,ELA,*,*,*,*,*,*,*,*,*
37,68189,3768189,*,*,3,ELA,*,*,*,*,*,*,*,*,*
37,68189,3768189,*,*,8,ELA,*,*,*,*,*,*,*,*,*
37,68197,3768197,*,*,8,ELA,*,*,*,*,*,*,*,*,*
37,68221,3768221,*,*,3,ELA,*,*,*,*,*,*,*,*,*
37,68296,3768296,*,*,3,ELA,*,*,*,*,*,*,*,*,*
37,68296,3768296,*,*,8,ELA,*,*,*,*,*,*,*,*,*
37,68304,3768304,*,*,3,ELA,*,*,*,*,*,*,*,*,*
37,68304,3768304,*,*,8,ELA,*,*,*,*,*,*,*,*,*
37,68304,3768304,*,*,11,ELA,*,*,*,*,*,*,*,*,*
37,68338,3768338,39,39,3,ELA,*,*,*,*,*,*,*,*,*
37,68338,3768338,39,39,8,ELA,*,*,*,*,*,*,*,*,*
37,68338,3768338,39,39,11,ELA,*,*,*,*,*,*,*,*,*
37,68346,3768346,*,*,8,ELA,*,*,*,*,*,*,*,*,*
37,68346,3768346,*,*,11,ELA,*,*,*,*,*,*,*,*,*
37,68361,3768361,*,*,3,ELA,*,*,*,*,*,*,*,*,*
37,68361,3768361,*,*,8,ELA,*,*,*,*,*,*,*,*,*
37,68387,3768387,*,*,3,ELA,*,*,*,*,*,*,*,*,*
37,68411,3768411,98,96,8,ELA,67,32,2506.3,3.33,16.67,20,33.33,46.67,30
37,68411,3768411,98,96,11,ELA,129,51,2555.2,7.84,33.33,41.18,31.37,27.45,51
37,68452,3768452,*,*,8,ELA,*,*,*,*,*,*,*,*,*
37,68452,3768452,*,*,11,ELA,*,*,*,*,*,*,*,*,*
37,73551,3773551,*,*,8,ELA,*,*,*,*,*,*,*,*,*
37,73569,3773569,*,*,3,ELA,*,*,*,*,*,*,*,*,*
37,73569,3773569,*,*,8,ELA,*,*,*,*,*,*,*,*,*
37,73569,3773569,*,*,11,ELA,*,*,*,*,*,*,*,*,*
37,73791,3773791,*,*,3,ELA,*,*,*,*,*,*,*,*,*
37,73791,3773791,*,*,8,ELA,*,*,*,*,*,*,*,*,*
37,73791,3773791,*,*,11,ELA,*,*,*,*,*,*,*,*,*
37,75614,3775614,*,*,3,ELA,*,*,*,*,*,*,*,*,*
37,75614,3775614,*,*,8,ELA,*,*,*,*,*,*,*,*,*
37,67967,6037519,181,181,3,ELA,45,44,2408.7,9.09,20.45,29.55,45.45,25,44
37,67967,6037535,524,524,8,ELA,191,188,2585.7,18.62,42.55,61.17,26.06,12.77,188
37,76851,6037543,489,489,3,ELA,168,166,2440.3,29.52,23.49,53.01,27.11,19.88,166
37,67983,6037550,81,81,3,ELA,25,25,2338.6,4,8,12,12,76,25
37,67991,6037568,251,251,3,ELA,82,76,2375.9,10.53,14.47,25,28.95,46.05,76
37,67991,6037576,136,136,3,ELA,73,71,2432.7,35.21,14.08,49.3,19.72,30.99,71
37,67991,6037584,843,843,8,ELA,320,295,2522.5,5.76,25.42,31.19,30.17,38.64,295
37,67991,6037592,330,330,3,ELA,106,100,2370,8,20,28,20,52,100
37,67991,6037600,66,66,3,ELA,19,19,2376.1,5.26,15.79,21.05,21.05,57.89,19
37,67991,6037626,508,508,8,ELA,195,163,2522.8,4.91,33.13,38.04,26.38,35.58,163
37,67991,6037634,317,315,3,ELA,100,93,2414.6,25.81,17.2,43.01,29.03,27.96,93
37,67991,6037642,317,317,3,ELA,101,98,2435.8,25.51,26.53,52.04,30.61,17.35,98
37,67991,6037659,713,713,8,ELA,237,224,2545.5,8.04,39.29,47.32,25.45,27.23,224
37,67991,6037675,303,303,3,ELA,107,94,2346.9,4.26,4.26,8.51,23.4,68.09,94
37,67991,6037683,370,370,3,ELA,133,112,2363,9.82,9.82,19.64,23.21,57.14,112
37,67991,6037691,325,325,3,ELA,100,97,2399.8,12.37,18.56,30.93,31.96,37.11,97
37,67991,6037709,231,231,3,ELA,77,68,2344.4,2.94,13.24,16.18,14.71,69.12,68
37,67991,6037717,317,317,3,ELA,105,98,2375,12.24,11.22,23.47,24.49,52.04,98
37,67991,6037725,391,391,3,ELA,136,111,2360.7,8.11,11.71,19.82,20.72,59.46,111
37,67991,6037733,150,150,3,ELA,56,47,2386.8,21.28,19.15,40.43,8.51,51.06,47
37,67991,6037741,321,321,3,ELA,83,81,2357.5,6.17,8.64,14.81,28.4,56.79,81
37,68007,6037758,360,360,3,ELA,35,35,2463.3,42.86,31.43,74.29,14.29,11.43,35
37,68007,6037766,45,45,3,ELA,53,45,2461.6,40,28.89,68.89,20,11.11,45
37,73551,6037774,128,128,3,ELA,37,36,2457.9,27.78,38.89,66.67,22.22,11.11,36
37,73551,6037782,238,238,3,ELA,74,73,2439.3,31.51,26.03,57.53,19.18,23.29,73
37,73551,6037790,247,247,3,ELA,91,85,2478.3,44.71,25.88,70.59,21.18,8.24,85
37,73551,6037816,1003,1003,8,ELA,365,347,2597,25.65,37.75,63.4,22.77,13.83,347
37,68023,6037824,226,226,3,ELA,58,58,2394.6,17.24,24.14,41.38,20.69,37.93,58
37,68023,6037832,229,229,3,ELA,48,48,2447.7,35.42,27.08,62.5,16.67,20.83,48
37,68023,6037840,202,202,3,ELA,36,36,2410.1,19.44,22.22,41.67,22.22,36.11,36
37,68023,6037857,202,202,3,ELA,49,48,2427.1,29.17,12.5,41.67,35.42,22.92,48
37,68023,6037865,262,262,3,ELA,69,65,2425.3,26.15,27.69,53.85,15.38,30.77,65
37,68023,6037873,366,366,3,ELA,101,95,2401.4,14.74,24.21,38.95,24.21,36.84,95
37,68023,6037881,190,190,3,ELA,44,42,2420.6,26.19,19.05,45.24,21.43,33.33,42
37,68023,6037899,338,338,3,ELA,68,67,2469.2,43.28,25.37,68.66,16.42,14.93,67
37,68023,6037907,449,449,3,ELA,119,112,2423.8,26.79,18.75,45.54,28.57,25.89,112
37,68023,6037915,176,176,3,ELA,51,47,2442.9,42.55,17.02,59.57,14.89,25.53,47
37,68023,6037923,176,176,3,ELA,48,47,2400,12.77,25.53,38.3,21.28,40.43,47
37,68023,6037931,360,360,3,ELA,93,92,2422,22.83,33.7,56.52,16.3,27.17,92
37,68023,6037949,250,250,3,ELA,64,64,2424.8,26.56,20.31,46.88,32.81,20.31,64
37,68023,6037956,772,772,3,ELA,146,143,2422.7,23.78,23.08,46.85,31.47,21.68,143
37,68023,6037956,772,772,8,ELA,84,83,2614.1,30.12,43.37,73.49,19.28,7.23,83
37,68023,6037964,195,195,3,ELA,40,37,2463.4,37.84,18.92,56.76,35.14,8.11,37
37,68023,6037972,193,193,3,ELA,46,44,2429.8,20.45,38.64,59.09,20.45,20.45,44
37,68023,6037980,729,729,3,ELA,120,115,2440,32.17,20,52.17,25.22,22.61,115
37,68023,6037980,729,729,8,ELA,82,82,2625.8,30.49,42.68,73.17,24.39,2.44,82
37,68023,6037980,729,729,11,ELA,83,82,2636,30.49,47.56,78.05,14.63,7.32,82
37,68023,6037998,344,344,3,ELA,69,69,2410.3,20.29,28.99,49.28,18.84,31.88,69
37,68023,6038004,238,238,3,ELA,49,48,2451.5,37.5,20.83,58.33,22.92,18.75,48
37,68023,6038012,242,242,3,ELA,55,53,2469.6,43.4,22.64,66.04,16.98,16.98,53
37,68023,6038020,272,272,3,ELA,57,57,2456.4,38.6,29.82,68.42,7.02,24.56,57
37,68023,6038038,352,352,3,ELA,91,87,2396.6,14.94,21.84,36.78,27.59,35.63,87
37,68023,6038046,325,325,3,ELA,101,95,2400.4,23.16,15.79,38.95,20,41.05,95
37,68031,6038053,409,409,3,ELA,139,130,2474.6,48.46,23.85,72.31,13.85,13.85,130
37,68031,6038087,164,164,3,ELA,46,45,2474.4,51.11,22.22,73.33,15.56,11.11,45
37,68049,6038095,105,105,3,ELA,15,15,2397.4,20,20,40,13.33,46.67,15
37,68049,6038095,105,105,8,ELA,16,15,2519.5,6.67,13.33,20,53.33,26.67,15
37,68056,6038111,283,283,3,ELA,68,66,2528.7,75.76,16.67,92.42,4.55,3.03,66
37,68080,6038145,334,334,3,ELA,86,85,2438.1,34.12,22.35,56.47,15.29,28.24,85
37,68080,6038152,313,313,3,ELA,95,93,2469.7,44.09,26.88,70.97,16.13,12.9,93
37,68098,6038178,303,303,3,ELA,95,92,2360.6,4.35,16.3,20.65,19.57,59.78,92
37,68098,6038186,286,286,3,ELA,90,89,2384.4,7.87,23.6,31.46,23.6,44.94,89
37,68098,6038194,798,798,8,ELA,291,288,2524.7,7.99,27.43,35.42,27.43,37.15,288
37,68098,6038202,304,304,3,ELA,108,106,2374.5,6.6,15.09,21.7,32.08,46.23,106
37,68098,6038210,923,923,8,ELA,288,280,2538.1,6.43,28.93,35.36,39.64,25,280
37,68098,6038228,306,306,3,ELA,93,90,2397.3,14.44,21.11,35.56,25.56,38.89,90
37,68098,6038236,282,281,3,ELA,100,93,2393.2,6.45,30.11,36.56,32.26,31.18,93
37,68098,6038244,387,387,3,ELA,130,125,2379.3,9.6,18.4,28,24,48,125
37,68098,6038251,247,247,3,ELA,73,73,2432.8,24.66,27.4,52.05,24.66,23.29,73
37,68114,6038269,278,277,3,ELA,72,68,2423.7,20.9,28.36,49.25,23.88,26.87,67
37,68114,6038277,813,813,8,ELA,417,405,2547.7,11.11,35.56,46.67,22.47,30.86,405
37,68114,6038285,271,271,3,ELA,61,60,2411.2,23.33,16.67,40,30,30,60
37,68114,6038301,322,322,3,ELA,87,85,2512.8,67.06,18.82,85.88,9.41,4.71,85
37,68114,6038301,322,322,8,ELA,20,19,2617.8,15.79,63.16,78.95,21.05,0,19
37,68155,6038319,52,52,3,ELA,53,52,2387.5,11.54,19.23,30.77,28.85,40.38,52
37,68163,6038327,102,102,3,ELA,33,31,2343.3,6.45,6.45,12.9,19.35,67.74,31
37,68189,6038343,320,320,3,ELA,121,118,2426.1,22.88,22.03,44.92,32.2,22.88,118
37,68189,6038350,768,768,8,ELA,215,207,2585.2,19.32,43.48,62.8,23.19,14.01,207
37,68189,6038368,330,330,3,ELA,115,112,2449.5,30.36,27.68,58.04,27.68,14.29,112
37,68189,6038376,257,257,3,ELA,85,83,2419.8,21.69,26.51,48.19,20.48,31.33,83
37,68189,6038384,444,444,3,ELA,150,147,2454.8,36.05,28.57,64.63,19.73,15.65,147
37,68197,6038400,227,227,3,ELA,62,62,2399.8,12.9,19.35,32.26,37.1,30.65,62
37,68197,6038418,319,319,3,ELA,100,99,2357.9,5.05,12.12,17.17,22.22,60.61,99
37,68197,6038434,159,159,3,ELA,44,44,2411.4,22.73,18.18,40.91,27.27,31.82,44
37,68197,6038442,368,368,3,ELA,100,100,2487.4,50,27,77,14,9,100
37,68197,6038459,240,240,3,ELA,79,77,2371.5,14.29,14.29,28.57,14.29,57.14,77
37,68197,6038467,81,81,3,ELA,84,81,2390.3,11.11,18.52,29.63,34.57,35.8,81
37,68197,6038475,217,217,3,ELA,61,57,2420.8,19.3,19.3,38.6,40.35,21.05,57
37,68197,6038509,236,236,3,ELA,77,74,2424,28.38,18.92,47.3,27.03,25.68,74
37,68197,6038517,316,316,3,ELA,107,103,2454.8,34.95,28.16,63.11,21.36,15.53,103
37,68197,6038525,174,174,3,ELA,51,51,2420.1,21.57,29.41,50.98,21.57,27.45,51
37,68197,6038533,409,409,3,ELA,121,116,2431.5,27.59,28.45,56.03,19.83,24.14,116
37,68197,6038541,253,253,3,ELA,69,68,2424.5,22.06,30.88,52.94,22.06,25,68
37,68197,6038558,775,774,8,ELA,370,358,2590.7,17.04,47.77,64.8,22.35,12.85,358
37,68197,6038566,190,190,3,ELA,49,48,2412.7,25,18.75,43.75,18.75,37.5,48
37,68197,6038574,285,285,3,ELA,85,84,2395.1,17.86,19.05,36.9,19.05,44.05,84
37,68205,6038608,910,909,3,ELA,65,64,2387.5,10.94,18.75,29.69,26.56,43.75,64
37,68205,6038608,910,909,8,ELA,298,296,2552.3,9.46,35.14,44.59,30.74,24.66,296
37,68205,6038624,249,249,3,ELA,59,59,2409,15.25,25.42,40.68,28.81,30.51,59
37,68205,6038632,356,356,3,ELA,54,53,2399.8,7.55,24.53,32.08,41.51,26.42,53
37,68205,6038632,356,356,8,ELA,49,48,2563.9,4.17,47.92,52.08,29.17,18.75,48
37,68205,6038657,198,198,3,ELA,55,52,2396.2,19.23,19.23,38.46,19.23,42.31,52
37,68205,6038665,298,297,3,ELA,74,73,2395.8,19.18,19.18,38.36,21.92,39.73,73
37,68205,6038673,359,358,3,ELA,54,52,2414.2,19.61,23.53,43.14,29.41,27.45,51
37,68205,6038673,359,358,8,ELA,55,52,2522.9,3.85,28.85,32.69,32.69,34.62,52
37,68213,6038681,284,284,3,ELA,55,54,2353.3,3.7,14.81,18.52,18.52,62.96,54
37,68213,6038681,284,284,8,ELA,47,46,2544.2,4.35,32.61,36.96,36.96,26.09,46
37,68213,6038699,74,74,3,ELA,26,26,2426.6,19.23,34.62,53.85,19.23,26.92,26
37,68221,6038731,343,343,3,ELA,87,82,2384,10.98,20.73,31.71,25.61,42.68,82
37,68221,6038749,282,282,3,ELA,66,66,2395.9,18.18,22.73,40.91,19.7,39.39,66
37,68221,6038756,255,255,3,ELA,69,65,2390,7.69,26.15,33.85,24.62,41.54,65
37,68221,6038764,335,335,3,ELA,71,71,2410.6,15.49,25.35,40.85,23.94,35.21,71
37,68221,6038772,197,197,3,ELA,47,47,2394.9,4.26,25.53,29.79,36.17,34.04,47
37,68221,6038780,365,365,3,ELA,86,78,2385.4,11.54,17.95,29.49,20.51,50,78
37,68221,6038798,320,320,3,ELA,76,75,2380.1,14.67,16,30.67,29.33,40,75
37,68221,6038806,338,338,3,ELA,72,72,2409.3,22.22,22.22,44.44,20.83,34.72,72
37,68221,6038814,318,317,3,ELA,71,71,2428.6,21.13,26.76,47.89,28.17,23.94,71
37,73569,6038830,604,603,8,ELA,204,196,2529.9,4.59,26.02,30.61,42.86,26.53,196
37,73569,6038848,214,213,3,ELA,74,73,2360.9,5.56,13.89,19.44,27.78,52.78,72
37,73569,6038855,274,274,3,ELA,93,91,2372.8,8.79,18.68,27.47,24.18,48.35,91
37,73569,6038863,816,815,8,ELA,277,265,2549.9,11.74,32.58,44.32,31.06,24.62,264
37,73569,6038871,274,274,3,ELA,94,93,2374.4,10.75,16.13,26.88,23.66,49.46,93
37,73569,6038889,396,396,3,ELA,85,74,2430,16.22,35.14,51.35,33.78,14.86,74
37,73569,6038889,396,396,8,ELA,48,48,2596.9,6.25,70.83,77.08,18.75,4.17,48
37,73569,6038897,315,314,3,ELA,103,103,2433.8,23.53,27.45,50.98,29.41,19.61,102
37,73569,6038905,166,166,3,ELA,54,54,2355.4,3.7,16.67,20.37,25.93,53.7,54
37,73569,6038913,342,341,3,ELA,82,75,2433.9,24,32,56,21.33,22.67,75
37,73569,6038913,342,341,8,ELA,45,42,2592.9,12.2,46.34,58.54,36.59,4.88,41
37,73569,6038921,359,359,3,ELA,113,110,2407.3,19.09,23.64,42.73,17.27,40,110
37,68098,6038939,298,298,3,ELA,110,109,2394.4,11.93,22.94,34.86,24.77,40.37,109
37,68098,6038947,332,332,3,ELA,113,112,2420.6,22.32,25,47.32,22.32,30.36,112
37,75614,6038962,123,122,3,ELA,34,33,2364.4,3.03,15.15,18.18,27.27,54.55,33
37,75614,6038962,123,122,8,ELA,13,11,2526.8,0,36.36,36.36,36.36,27.27,11
37,68296,6038970,218,218,3,ELA,77,77,2478.1,49.35,28.57,77.92,12.99,9.09,77
37,68296,6038988,1337,1337,8,ELA,443,438,2614.8,35.39,34.7,70.09,18.49,11.42,438
37,68296,6038996,308,307,3,ELA,100,98,2474.1,38.78,35.71,74.49,20.41,5.1,98
37,68296,6039002,191,191,3,ELA,60,59,2430.1,30.51,16.95,47.46,27.12,25.42,59
37,68296,6039010,343,343,3,ELA,115,115,2414.3,20.87,16.52,37.39,30.43,32.17,115
37,68304,6039028,328,328,3,ELA,87,87,2414.8,16.09,28.74,44.83,26.44,28.74,87
37,68304,6039036,270,270,3,ELA,60,59,2418.9,25.42,16.95,42.37,27.12,30.51,59
37,68312,6039051,224,224,3,ELA,70,70,2513.9,68.57,20,88.57,8.57,2.86,70
37,73791,6039069,425,425,3,ELA,110,106,2401.8,16.98,24.53,41.51,19.81,38.68,106
37,73791,6039077,404,404,3,ELA,124,122,2474.7,40.98,28.69,69.67,22.95,7.38,122
37,73791,6039085,455,455,3,ELA,144,140,2374.4,9.29,12.14,21.43,28.57,50,140
37,73791,6039093,1209,1206,8,ELA,466,450,2570.2,14.03,41.87,55.9,26.5,17.59,449
37,68338,6039101,128,128,3,ELA,48,46,2398.5,10.87,28.26,39.13,30.43,30.43,46
37,68338,6039119,70,70,3,ELA,25,23,2399.8,13.04,34.78,47.83,17.39,34.78,23
37,68338,6039135,216,216,3,ELA,67,66,2436.7,30.3,24.24,54.55,15.15,30.3,66
37,68338,6039143,282,282,3,ELA,39,38,2368.7,10.53,13.16,23.68,26.32,50,38
37,68338,6039143,282,282,8,ELA,36,34,2540.4,5.88,32.35,38.24,35.29,26.47,34
37,68338,6039150,183,183,3,ELA,65,63,2392.4,11.11,22.22,33.33,22.22,44.44,63
37,68338,6039168,229,229,3,ELA,80,76,2375.5,13.16,9.21,22.37,23.68,53.95,76
37,68338,6039184,160,160,3,ELA,50,50,2477.4,48,16,64,26,10,50
37,68338,6039200,190,190,3,ELA,70,69,2480.3,49.28,26.09,75.36,18.84,5.8,69
37,68338,6039242,238,238,3,ELA,77,75,2484.1,42.67,36,78.67,16,5.33,75
37,68338,6039259,230,230,3,ELA,80,77,2469.1,50.65,18.18,68.83,14.29,16.88,77
37,68338,6039267,249,249,3,ELA,82,80,2381.2,11.25,18.75,30,21.25,48.75,80
37,68338,6039283,177,177,3,ELA,58,54,2342.6,5.56,11.11,16.67,14.81,68.52,54
37,68338,6039291,47,47,3,ELA,31,30,2426.2,20,36.67,56.67,20,23.33,30
37,68338,6039309,73,73,3,ELA,24,19,2466.8,36.84,42.11,78.95,15.79,5.26,19
37,68338,6039341,197,197,3,ELA,64,61,2413.2,27.87,16.39,44.26,18.03,37.7,61
37,68338,6039358,90,90,3,ELA,27,26,2386.1,15.38,15.38,30.77,23.08,46.15,26
37,68338,6039366,322,320,3,ELA,108,103,2361.5,6.8,20.39,27.18,17.48,55.34,103
37,68338,6039374,176,176,3,ELA,64,58,2457.6,31.03,37.93,68.97,20.69,10.34,58
37,68338,6039382,312,312,3,ELA,101,101,2400.8,15.84,17.82,33.66,31.68,34.65,101
37,68338,6039390,138,138,3,ELA,42,41,2426.7,24.39,24.39,48.78,26.83,24.39,41
37,68338,6039424,177,177,3,ELA,69,67,2427,37.31,11.94,49.25,19.4,31.34,67
37,68338,6039432,87,87,3,ELA,38,37,2421.4,18.92,27.03,45.95,29.73,24.32,37
37,68338,6039440,294,294,3,ELA,103,99,2484.9,49.49,29.29,78.79,12.12,9.09,99
37,68338,6039457,419,419,3,ELA,73,72,2400.5,18.06,19.44,37.5,29.17,33.33,72
37,68338,6039457,419,419,8,ELA,53,53,2561.5,11.32,33.96,45.28,37.74,16.98,53
37,68338,6039481,97,97,3,ELA,51,50,2463,40,30,70,20,10,50
37,68338,6039499,256,256,3,ELA,72,71,2433.8,32.39,21.13,53.52,18.31,28.17,71
37,68338,6039507,286,286,3,ELA,78,74,2349.7,8.11,9.46,17.57,20.27,62.16,74
37,68338,6039515,220,220,3,ELA,77,73,2401.5,20.55,23.29,43.84,17.81,38.36,73
37,68338,6039523,243,243,3,ELA,72,71,2381.4,8.45,23.94,32.39,23.94,43.66,71
37,68338,6039556,117,117,3,ELA,42,42,2395.5,11.9,11.9,23.81,45.24,30.95,42
37,68338,6039564,94,94,3,ELA,31,31,2429.1,25.81,25.81,51.61,25.81,22.58,31
37,68338,6039572,98,98,3,ELA,35,33,2424.8,24.24,18.18,42.42,27.27,30.3,33
37,68338,6039598,168,167,3,ELA,55,53,2431.2,23.08,28.85,51.92,25,23.08,52
37,68338,6039606,124,124,3,ELA,39,37,2424.8,32.43,21.62,54.05,18.92,27.03,37
37,68338,6039614,157,157,3,ELA,54,53,2396.6,15.09,26.42,41.51,22.64,35.85,53
