High School,AP Pass Rate,MATH Weighted Mean Ele,ELA Weighted Mean Ele,Sum of ELA & MATH
Lincoln High; San Diego Unified,0.267515923566879,2400.6669144981415,2380.7805243445696,4781.447438842712
Crawford High; San Diego Unified,0.2706766917293233,2404.581012658228,2388.1513513513514,4792.732364009579
Grossmont Middle College High; Grossmont Union High,,2454.722222222222,2449.1300429184553,4903.852265140677
Options Secondary; Sweetwater Union High,,2428.890697674419,2423.7714285714287,4852.6621262458475
San Diego HS Science and Technology; San Diego Unified,0.2345679012345679,2435.253012048193,2424.99156626506,4860.244578313253
San Diego HS Business/Leadership; San Diego Unified,0.11538461538461539,2435.253012048193,2424.99156626506,4860.244578313253
Canyon Crest Academy; San Dieguito Union High,0.9105854049719326,2509.896226415094,2487.9544303797466,4997.850656794841
High Tech High Chula Vista; SBC - High Tech High,,2435.7,2411.9,4847.6
High Tech High North County; SBC - High Tech High,,2428.9968,2417.7464000000004,4846.743200000001
Bonsall High; Bonsall Unified,,2451.612096774193,2441.6666666666665,4893.27876344086
Borrego Springs High; Borrego Springs Unified,,2369.5,2338.6,4708.1
"Kearny Eng, Innov & Design; San Diego Unified",,2432.1242603550295,2424.0773809523807,4856.201641307411
High Tech High Media Arts; San Diego Unified,,2425.9,2407.0,4832.9
Health Sciences High; San Diego Unified,,2386.215976331361,2361.2369696969695,4747.45294602833
Charter School of San Diego; San Diego Unified,,2480.571875,2469.080769230769,4949.6526442307695
School for Entrepreneurship and Technology; San Diego Unified,,2436.237037037037,2418.3197530864195,4854.556790123457
Arroyo Paseo Charter High; San Diego Unified,,2396.833098591549,2378.2292857142857,4775.062384305835
High Tech High International; San Diego Unified,,2439.292481203008,2430.0454545454545,4869.337935748463
Kearny Digital Media & Design; San Diego Unified,,2432.1242603550295,2424.0773809523807,4856.201641307411
High Tech High; San Diego Unified,,2439.292481203008,2430.0454545454545,4869.337935748463
Kearny College Connections; San Diego Unified,,2432.1242603550295,2424.0773809523807,4856.201641307411
King-Chavez Community High; San Diego Unified,,2435.253012048193,2424.99156626506,4860.244578313253
e3 Civic High; San Diego Unified,,2435.3561643835615,2423.8166666666666,4859.172831050228
North County Trade Tech High; Vista Unified,,2383.528888888889,2368.464122137405,4751.993011026294
SIATech; Vista Unified,,2408.9646341463417,2398.3767634854776,4807.341397631819
Escondido Charter High; Escondido Union High,0.6666666666666666,2412.789728096677,2401.8878419452885,4814.677570041966
Classical Academy High; Escondido Union High,0.8603351955307262,2391.4513761467892,2377.5453271028036,4768.996703249593
Torrey Pines High; San Dieguito Union High,0.8380158033362599,2507.7,2508.5,5016.2
Valhalla High; Grossmont Union High,0.740276035131744,2448.1704081632656,2436.1321243523316,4884.302532515598
La Costa Canyon High; San Dieguito Union High,0.75,2496.622489959839,2484.634136546185,4981.256626506024
San Ysidro High; Sweetwater Union High,0.6623376623376623,2477.8,2471.3,4949.1
Fallbrook High; Fallbrook Union High,0.6440281030444965,2446.944285714286,2421.145255474453,4868.089541188739
Eastlake High; Sweetwater Union High,0.7066160520607375,2454.0353571428573,2456.657913669065,4910.693270811922
West Hills High; Grossmont Union High,0.6949640287769784,2445.23488372093,2435.216279069767,4880.451162790698
Santana High; Grossmont Union High,0.6132596685082873,2450.267692307693,2440.1288659793813,4890.396558287074
Olympian High; Sweetwater Union High,0.663172606568833,2474.941630901287,2484.341630901287,4959.283261802574
San Dieguito High Academy; San Dieguito Union High,0.7273462783171522,2489.89453125,2467.95,4957.84453125
Steele Canyon High; Grossmont Union High,0.6264949402023919,2459.0901734104045,2433.7666666666664,4892.856840077071
Otay Ranch Senior High; Sweetwater Union High,0.6344155844155844,2459.9,2481.2,4941.1
Helix High; Grossmont Union High,0.6080508474576272,2429.683035714286,2417.6833333333334,4847.366369047619
Granite Hills High; Grossmont Union High,0.5719063545150501,2401.9712871287124,2387.33641025641,4789.307697385122
Bonita Vista Senior High; Sweetwater Union High,0.6160714285714286,2468.1972222222225,2462.426388888889,4930.623611111112
El Capitan High; Grossmont Union High,0.5484581497797357,2439.1518367346944,2429.728630705394,4868.880467440089
Escondido High; Escondido Union High,0.5447058823529412,2393.943686006826,2379.97508650519,4773.9187725120155
San Pasqual High; Escondido Union High,0.6189747513389442,2439.709090909091,2433.6096069868995,4873.318697895991
Grossmont High; Grossmont Union High,0.5264084507042254,2431.127027027027,2426.2197278911563,4857.346754918183
El Cajon Valley High; Grossmont Union High,0.3811188811188811,2370.647234042553,2354.3721951219513,4725.019429164504
Orange Glen High; Escondido Union High,0.4517241379310345,2389.4,2379.3,4768.700000000001
Monte Vista High; Grossmont Union High,0.47145187601957583,2393.393137254902,2399.2188118811882,4792.61194913609
Hilltop Senior High; Sweetwater Union High,0.45008319467554075,2441.924324324324,2450.473394495413,4892.397718819737
Mount Miguel High; Grossmont Union High,0.4264705882352941,2385.7560747663547,2380.4163551401866,4766.172429906541
Del Lago Academy - Campus of Applied Science; Escondido Union High,0.4842105263157895,2418.5491428571427,2401.8809248554917,4820.430067712634
Sweetwater High; Sweetwater Union High,0.39091418956814356,2409.477142857143,2400.1430656934303,4809.620208550574
Chula Vista Senior High; Sweetwater Union High,0.37649219467401285,2428.8906976744183,2423.7714285714287,4852.662126245847
Julian High; Julian Union High,0.23809523809523808,2399.6,2343.3,4742.9
Mar Vista Senior High; Sweetwater Union High,0.3265073947667804,2432.31488372093,2411.1134615384613,4843.428345259392
Castle Park Senior High; Sweetwater Union High,0.30385487528344673,2423.05737704918,2410.44262295082,4833.5
Montgomery Senior High; Sweetwater Union High,0.3066104078762307,2443.9164383561642,2410.2591549295776,4854.175593285741
Southwest Senior High; Sweetwater Union High,0.3101391650099404,2420.3433823529413,2390.1327067669176,4810.476089119858
MAAC Community Charter; Sweetwater Union High,,2442.0116279069766,2435.8777777777777,4877.889405684755
San Diego School of Creative and Performing Arts; San Diego Unified,0.5707317073170731,2446.742071197411,2433.8307189542484,4880.572790151659
The O'Farrell Charter; San Diego Unified,0.46215139442231074,2419.092261904762,2399.713017751479,4818.805279656241
Guajome Park Academy Charter; Vista Unified,0.3939393939393939,2407.8336492890994,2388.8399038461544,4796.673553135253
Gompers Preparatory Academy; San Diego Unified,0.20161290322580644,2416.6634482758623,2391.8786206896552,4808.5420689655175
Preuss School UCSD; San Diego Unified,0.3006198347107438,2490.5276119402984,2465.3927125506075,4955.920324490906
Literacy First Charter; San Diego County Office of Education,,,,
Hawking S.T.E.A.M. Charter; Sweetwater Union High,,2432.65737704918,2424.463333333333,4857.120710382513
Audeo Charter II; SBE - Audeo Charter II,,,,
Thrive Public; SBE - Thrive Public,,2403.8,2409.6,4813.4
Pathways Academy Charter; Bonsall Unified,,2448.715841584158,2442.7772277227727,4891.493069306931
