County Code,District Code,School Code,Total Tested At Entity Level,Total Tested with Scores,Grade,Test Id,CAASPP Reported Enrollment,Students Tested,Mean Scale Score,Percentage Standard Exceeded,Percentage Standard Met,Percentage Standard Met and Above,Percentage Standard Nearly Met,Percentage Standard Not Met,Students with Scores
37,68452,111237,272,269,3,MATH,88,85,2391.5,8.33,16.67,25,27.38,47.62,84
37,73791,111468,563,563,3,MATH,181,178,2482.9,44.38,32.58,76.97,12.92,10.11,178
37,68411,111831,666,664,11,MATH,683,666,2605.4,14.91,29.37,44.28,27.86,27.86,664
37,68338,111864,141,141,3,MATH,60,59,2458.4,27.12,38.98,66.1,18.64,15.25,59
37,68338,111898,596,596,8,MATH,198,198,2589,30.3,20.2,50.51,29.29,20.2,198
37,68338,111906,348,348,8,MATH,119,119,2484.1,4.2,10.92,15.13,26.05,58.82,119
37,73551,113498,269,269,3,MATH,83,83,2470.3,36.14,37.35,73.49,12.05,14.46,83
37,73569,113514,334,334,3,MATH,104,104,2413.4,13.46,22.12,35.58,26.92,37.5,104
37,73569,113522,752,752,8,MATH,244,242,2536.4,11.98,19.01,30.99,34.3,34.71,242
37,68023,114009,503,503,3,MATH,122,122,2466.7,31.15,40.16,71.31,18.03,10.66,122
37,68338,114025,246,246,11,MATH,322,246,2485.4,1.63,9.35,10.98,17.07,71.95,246
37,68338,114033,249,249,3,MATH,97,89,2382.9,3.37,23.6,26.97,22.47,50.56,89
37,68338,114041,311,311,3,MATH,121,121,2411,12.4,25.62,38.02,28.1,33.88,121
37,68452,114264,43,43,11,MATH,43,43,2516.9,0,9.3,9.3,27.91,62.79,43
37,68338,114462,140,140,11,MATH,147,140,2542.8,7.14,15.71,22.86,24.29,52.86,140
37,68338,114520,20,20,11,MATH,22,20,2450.8,0,0,0,10,90,20
37,68452,114637,835,835,8,MATH,272,271,2609.6,38.75,25.09,63.84,20.66,15.5,271
37,76471,114678,161,161,11,MATH,161,161,2568.3,6.21,25.47,31.68,29.81,38.51,161
37,68056,114686,474,474,3,MATH,95,94,2524.7,68.09,23.4,91.49,7.45,1.06,94
37,76471,114694,113,113,11,MATH,116,113,2603.8,15.93,25.66,41.59,26.55,31.86,113
37,68452,115451,86,86,11,MATH,90,86,2422.3,0,0,0,1.16,98.84,86
37,68114,115519,*,*,8,MATH,*,*,*,*,*,*,*,*,*
37,68197,115543,19,19,8,MATH,14,12,2419.8,0,0,0,0,100,12
37,68411,115873,*,*,8,MATH,*,*,*,*,*,*,*,*,*
37,68411,115873,*,*,11,MATH,*,*,*,*,*,*,*,*,*
37,73791,116467,411,411,3,MATH,151,147,2436.8,19.73,27.89,47.62,33.33,19.05,147
37,68296,116475,358,358,3,MATH,134,131,2523.2,65.65,22.14,87.79,9.16,3.05,131
37,68296,116764,367,367,3,MATH,120,116,2489.9,44.83,33.62,78.45,11.21,10.34,116
37,68338,116939,507,506,8,MATH,143,134,2531.1,18.66,11.94,30.6,26.87,42.54,134
37,68338,117325,419,419,8,MATH,145,135,2446.4,6.67,5.93,12.59,11.85,75.56,135
37,68338,117333,348,348,8,MATH,133,130,2467.7,3.08,11.54,14.62,19.23,66.15,130
37,67983,117887,30,30,3,MATH,*,*,*,*,*,*,*,*,*
37,67983,117887,30,30,8,MATH,*,*,*,*,*,*,*,*,*
37,67983,117887,30,30,11,MATH,*,*,*,*,*,*,*,*,*
37,68338,118000,309,306,3,MATH,48,46,2462,23.91,43.48,67.39,28.26,4.35,46
37,68338,118000,309,306,8,MATH,52,50,2538.7,16.67,10.42,27.08,31.25,41.67,48
37,68338,118083,223,223,3,MATH,47,42,2398.2,11.9,11.9,23.81,28.57,47.62,42
37,68338,118083,223,223,8,MATH,43,41,2521.1,7.32,17.07,24.39,31.71,43.9,41
37,68338,118315,*,*,11,MATH,*,*,*,*,*,*,*,*,*
37,68189,118323,447,446,3,MATH,77,71,2404.7,12.68,19.72,32.39,29.58,38.03,71
37,68189,118323,447,446,8,MATH,44,40,2513.2,12.5,10,22.5,27.5,50,40
37,68189,118323,447,446,11,MATH,46,44,2503.8,4.55,2.27,6.82,22.73,70.45,44
37,68452,118430,426,426,11,MATH,430,426,2640.1,23,35.21,58.22,24.65,17.14,426
37,68338,118851,127,127,11,MATH,131,127,2467.7,1.57,3.94,5.51,21.26,73.23,127
37,68296,118935,481,481,11,MATH,488,481,2696,46.78,30.77,77.55,12.68,9.77,481
37,67991,119255,192,191,8,MATH,54,54,2615.6,35.19,33.33,68.52,22.22,9.26,54
37,76471,119271,318,318,8,MATH,107,103,2537.2,10.68,26.21,36.89,26.21,36.89,103
37,68213,119560,*,*,3,MATH,*,*,*,*,*,*,*,*,*
37,68213,119560,*,*,8,MATH,*,*,*,*,*,*,*,*,*
37,68213,119560,*,*,11,MATH,*,*,*,*,*,*,*,*,*
37,68023,119594,172,172,3,MATH,43,42,2427.1,11.9,33.33,45.24,30.95,23.81,42
